product_id,active,name,category,price,on_sale,discount_amount,discount_percent,manufacturer,scale,height,hero,theme,series,material,packaging,accessories,range_of_motion,type,code,description,image_urls,dimensions
23,1,Brelok gumowy DC Comics - Batman Symbol,7,14.90,0,,,"Pyramid International
",,,Batman,Batman,,"Guma
","Bez opakowania
",,,Brelok do kluczy,5050293381909,,"xrk38190.jpg,","4,5 x 6 cm"
24,1,Brelok gumowy Harry Potter - Ron Weasley Chibi,7,14.90,0,,,"Pyramid International
",,,Ron Weasley,Harry Potter / Fantastyczne Zwierzęta,,"Guma
","Bez opakowania
",,,Brelok do kluczy,HITWRK38833C,"Uroczy breloczek do kluczy wykonany na pełnej licencji marki Harry Potter. Zrobiony został z gumy i mierzy około 4,5 cm. Przedstawia postać Rona Weasley w wersji Chibi.","rk38833c-jpg.jpg,rk38833c-3-jpg.jpg,","4,5 cm"
25,1,Brelok gumowy Guardians of the Galaxy -  I Am Groot,7,14.90,0,,,"Pozostali
",,,Groot,Guardians of the Galaxy,,"Guma
","Folia
",,,Brelok do kluczy,5050293392752,"Idealny dla dzieciaków, młodzieży i dorosłych.
Bardzo modny, świetnie nadający się do Twoich kluczy.
Kompletny brelok składa się z metalowego oczka oraz gumowej zawieszki. Brelok to idealny upominek w konkursach i zabawach. Super gadżet z twoim ulubionym motywem. 
Jest oryginalny, to oficjalny i licencjonowany gadżet","rk39275c-jpg.jpg,","Około 4,5 x 6 cm"
26,1,Brelok gumowy Rick and Morty - Głowa Ricka,7,18.90,0,,,"Pyramid International
",,,Rick Sanchez,Rick and Morty,,"Guma
","Folia
",,,Brelok do kluczy,5905131854520,"Gumowy brelok Rick and Morty Rick Head
Idealny dla dzieciaków, młodzieży i dorosłych!
Bardzo modny, świetnie nadający się do Twoich kluczy.
Kompletny brelok składa się z metalowego oczka oraz gumowej zawieszki.
Brelok to idealny upominek w konkursach i zabawach.
Super gadżet z twoim ulubionym motywem.
Jest oryginalny, to oficjalny i licencjonowany gadżet!
Przedstawiony brelok ma rozmiar ok. 4,5x6 cm.","1_ln2h-3s.jpg,2_f6m1-g7.jpg,","4,5 x 6 cm"
27,1,Brelok gumowy The Lord of the Rings / Władca Pierścieni - The Prancing Pony,7,14.90,0,,,"Pyramid International
",,,,Władca Pierścieni & The Hobbit,,"Guma
","Folia
",,,Brelok do kluczy,5050293395104,"Gumowy brelok Lord Of The Rings The Prancing Pony
Idealny dla dzieciaków, młodzieży i dorosłych.
Bardzo modny, świetnie nadający się do Twoich kluczy.
Kompletny brelok składa się z metalowego oczka oraz gumowej zawieszki.
Brelok to idealny upominek w konkursach i zabawach.
Super gadżet z twoim ulubionym motywem.
Jest oryginalny, to oficjalny i licencjonowany gadżet","1_973m-nj.jpg,2_n6do-zq.jpg,","4,5 x 7 cm"
28,1,Brelok gumowy One Piece (Netflix) - Straw Hat Crew,7,14.90,0,,,"Pyramid International
",,,,Anime / Manga,,"Guma
","Folia
",,,Brelok do kluczy,5050293394909,"Gumowy brelok One Piece Straw Hat Crew
Idealny dla dzieciaków, młodzieży i dorosłych.
Bardzo modny, świetnie nadający się do Twoich kluczy.
Kompletny brelok składa się z metalowego oczka oraz gumowej zawieszki.
Brelok to idealny upominek w konkursach i zabawach.
Super gadżet z twoim ulubionym motywem.
Jest oryginalny, to oficjalny i licencjonowany gadżet","1_n1s6-kh.jpg,2_hkj7-zo.jpg,","4,5 x 7 cm"
29,1,Tajemnicza zawieszka do plecaka Super Mario Backpack Buddies Series 2,7,10.00,0,,,"Banpresto
",,,Luigi,Nintendo,,,"Worek foliowy
",,,,5055964709822,"Produktem jest tajemnicza zawieszka do plecaka w formie figurki, wzorowana jest na jednej z postaci znanej z kultowej serii gier Super Mario. Można trafić na jedną z charakterystycznych postaci m.in:
Fire MarioFire LuigiGoombaBooGrzybekSkorupa Koopa TroopaBlok z pytajnikiemBullet Bill
Może się sprawdzić jako idealny drobny prezent dla każdego fana tej popularnej serii gier.
UWAGA: Produktem jest losowa zawieszka. Nie ma możliwości wybrania danej postaci jako że są pakowane w worek foliowy bez możliwości wglądu do środka.","1_8d4u-qi.jpg,2_mgoz-ds.jpg,",
30,1,Brelok My Hero Academia POP! - Himiko Toga w Masce,7,35.90,0,,,"Funko
",,"4
 cm",Himiko Toga,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698755634,"Brelok do kluczy w postaci uroczej mini figurki POP! Himiko Toga. Wzorowany na postaci z anime / mangi My Hero Academia i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_0sa3-wf.jpg,",
31,1,Brelok Star Wars: Ahsoka POP! - Admirał Thrawn,7,35.90,0,,,"Funko
",,"4
 cm",Thrawn,Star Wars,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698770217,"Brelok do kluczy w postaci uroczej mini figurki POP! Admirał Thrawn. Wzorowany na postaci z serialu Star Wars: Ahsoka i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_bwna-ca.jpg,",
32,1,Brelok Black Clover POP! - Yuno,7,35.90,0,,,"Funko
",,"4
 cm",Yuno Grinberryall,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698802987,"Brelok do kluczy w postaci uroczej mini figurki POP! Yuno. Wzorowany na postaci z anime / mangi Black Clover i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_dv4i-t1.jpg,",
